,Gov_Satisfaction,Trust_Legal_System,Trust_Politicians,Trust_Political_Parties,Imp_New,Imp_Env,Imp_Free,Imp_Fun,Imp_Rich,Imp_Safe,Imp_Tradition,Imp_Adventure,Imp_Behave,Imp_Creative,Imp_Equality,Imp_Fol_Rules,Imp_Good_Time,Imp_Help_People,Imp_Loyal_Friends,Imp_Humble,Imp_Respect,Imp_Admired,Imp_Strong_Safe_Gov,Imp_Successful,Imp_Understanding
Gov_Satisfaction,1.0,0.4533137230618349,0.534696921816387,0.47370777358708716,-0.01634798487167225,-0.023063766500133438,0.011278039698273692,-0.02960352341018307,-0.06243105170163081,-0.05962034041152656,-0.06173843153073725,-0.0011891610179701247,-0.07217040035990926,-0.0008692575273935963,-0.02742406548874486,-0.07966174719474478,-0.018728496973672636,-0.05949542245166201,-0.033926781028694515,-0.02465175254721669,-0.05900260496763941,-0.03422824887699377,-0.09842849279787816,-0.07086851302340892,-0.0333695037361968
Trust_Legal_System,0.4533137230618349,1.0,0.5181921044936825,0.4610029165455504,-0.016409341014947777,-0.03311420269877798,-0.01047668833329344,0.0122255274186179,-0.05231233655219793,-0.009180829616711104,-0.02696464408133978,-0.020469796733666078,-0.027784450423893013,-0.035007548442346145,-0.052849870252116016,-0.05335066311340019,-0.02209127837810845,-0.04592406896318811,-0.06840227304074312,0.01097926611448041,-0.051022257760590405,-0.05503534094028834,-0.040466479281335004,-0.07924631873817142,-0.06524062325242404
Trust_Politicians,0.534696921816387,0.5181921044936825,1.0,0.7683646799041052,-0.027482228963292974,-0.044695553527345715,0.029048413685021233,-0.017044495701074868,-0.03281078713863154,-0.052918870404533684,-0.10867380384040823,0.009036486600697835,-0.07330417499648828,-0.009998019668147782,-0.024459012760697594,-0.09362243942516667,-0.014558944472491578,-0.06660251980193735,-0.038165850054255844,-0.019688258353163193,-0.047081910249084806,-0.027989319560201384,-0.08961577495995422,-0.06910688244068423,-0.03988087607319475
Trust_Political_Parties,0.47370777358708716,0.4610029165455504,0.7683646799041052,1.0,-0.01703516353258383,-0.03442192900716169,0.025145227503527944,-0.036310737274972256,-0.045091672047630545,-0.04812454866721908,-0.09556272495457965,-0.016961612266460733,-0.05632428233542212,-0.012155008735951399,-0.02798910175106601,-0.07346222083645537,-0.0231468678591728,-0.05651288060355876,-0.042853168408522324,-0.004705399449340655,-0.047443391111174675,-0.047754969604111214,-0.09085901416604596,-0.08790731903340589,-0.025838836093356007
Imp_New,-0.01634798487167225,-0.016409341014947777,-0.027482228963292974,-0.01703516353258383,1.0,0.2032928315757305,0.31242934564942526,0.3976545197802476,0.16127427190645954,0.07550895974130559,0.07468983548826603,0.4695829368793739,0.08795038215123972,0.3582241564206592,0.19630936160831708,0.08918543724132824,0.40374603982419477,0.26177871023548993,0.27570466394460974,0.06848546196022504,0.1577216231183237,0.28268471541554335,0.14673653377233445,0.2890701653568222,0.27172606718102427
Imp_Env,-0.023063766500133438,-0.03311420269877798,-0.044695553527345715,-0.03442192900716169,0.2032928315757305,1.0,0.30075522692779133,0.15552190453894682,-0.0020087518840011835,0.2204650083854869,0.2438586003138144,0.09526621488420295,0.1951623487362673,0.25525831989218345,0.34023406621806584,0.1351685133833995,0.2352600964646289,0.37864558136820115,0.40724714497942294,0.23678601069548605,0.19593340039478366,0.11213940136127011,0.22334700101045799,0.10766489091372627,0.36641509678563217
Imp_Free,0.011278039698273692,-0.01047668833329344,0.029048413685021233,0.025145227503527944,0.31242934564942526,0.30075522692779133,1.0,0.2604549220032792,0.13634107963795888,0.1840929530207034,0.09916330632485844,0.2600846872201977,0.13234820999189856,0.34783894766114215,0.23257692716273962,0.05423796022062098,0.4184401313985357,0.3383578526877227,0.4008881313572187,0.13878222932815926,0.23784122950950265,0.22614790091334436,0.19704004878193368,0.24831285572062536,0.3225796690296805
Imp_Fun,-0.02960352341018307,0.0122255274186179,-0.017044495701074868,-0.036310737274972256,0.3976545197802476,0.15552190453894682,0.2604549220032792,1.0,0.19442773488339643,0.11136843025566487,0.1644779415976532,0.40063700025370447,0.13392177401198926,0.19324923342345363,0.15651832341367744,0.08620275397788349,0.5356593478074475,0.22852877501268037,0.24769925750785443,0.062344809507546554,0.17260111114605284,0.23911999309993895,0.1863435649074099,0.28416857793021927,0.15990306028553927
Imp_Rich,-0.06243105170163081,-0.05231233655219793,-0.03281078713863154,-0.045091672047630545,0.16127427190645954,-0.0020087518840011835,0.13634107963795888,0.19442773488339643,1.0,0.1887939913641084,0.07453359639271612,0.2609710077654267,0.11024240717508928,0.16828458248618464,0.025724842708917933,0.13285334649220915,0.20286709011278176,0.049530024670200366,0.10921834896017632,-0.062197855348732706,0.26028204270115574,0.3457496998340473,0.16692710475636424,0.41527116823642457,0.008712206953828969
Imp_Safe,-0.05962034041152656,-0.009180829616711104,-0.052918870404533684,-0.04812454866721908,0.07550895974130559,0.2204650083854869,0.1840929530207034,0.11136843025566487,0.1887939913641084,1.0,0.29805928005350757,-0.07987520727451383,0.3810960192755424,0.0812684129364726,0.18374199121754795,0.30376634424044147,0.200365010620324,0.26696323080145223,0.2581486270732509,0.246046732976754,0.3590759908213397,0.3006492472835951,0.44886514272220096,0.19993745996760398,0.1685547546457945
Imp_Tradition,-0.06173843153073725,-0.02696464408133978,-0.10867380384040823,-0.09556272495457965,0.07468983548826603,0.2438586003138144,0.09916330632485844,0.1644779415976532,0.07453359639271612,0.29805928005350757,1.0,-0.020256418558088303,0.3031985318982345,0.06326178702486035,0.08734752628308998,0.28441187460069217,0.11799420090503172,0.25992624970920486,0.2176707130681515,0.23459045741321966,0.23876111181969664,0.09699944455225498,0.3071285750965037,0.13694789141419203,0.10778993740584103
Imp_Adventure,-0.0011891610179701247,-0.020469796733666078,0.009036486600697835,-0.016961612266460733,0.4695829368793739,0.09526621488420295,0.2600846872201977,0.40063700025370447,0.2609710077654267,-0.07987520727451383,-0.020256418558088303,1.0,0.004530547713364646,0.27892556581092276,0.10137995395379264,-0.015395502990056344,0.3423779907723027,0.13990619392937484,0.19385403848450397,-0.05490715868243819,0.16157485817895498,0.2966481414986705,0.04306747005827896,0.3291219739042081,0.14806090178708822
Imp_Behave,-0.07217040035990926,-0.027784450423893013,-0.07330417499648828,-0.05632428233542212,0.08795038215123972,0.1951623487362673,0.13234820999189856,0.13392177401198926,0.11024240717508928,0.3810960192755424,0.3031985318982345,0.004530547713364646,1.0,0.04236226101428507,0.1744099480746262,0.3453687222922759,0.14704468398011053,0.26271069050086554,0.2820580423018299,0.3464694330896411,0.38056421247574196,0.2206594908174946,0.34350712540276074,0.17125775945712973,0.16369078155929112
Imp_Creative,-0.0008692575273935963,-0.035007548442346145,-0.009998019668147782,-0.012155008735951399,0.3582241564206592,0.25525831989218345,0.34783894766114215,0.19324923342345363,0.16828458248618464,0.0812684129364726,0.06326178702486035,0.27892556581092276,0.04236226101428507,1.0,0.20992920215913013,0.03825302343081302,0.2670586589277747,0.2695656552320918,0.28776773713075005,0.06298652598447359,0.14567150297058062,0.2462803343850672,0.10954411637253737,0.24760560367288365,0.2929610778403636
Imp_Equality,-0.02742406548874486,-0.052849870252116016,-0.024459012760697594,-0.02798910175106601,0.19630936160831708,0.34023406621806584,0.23257692716273962,0.15651832341367744,0.025724842708917933,0.18374199121754795,0.08734752628308998,0.10137995395379264,0.1744099480746262,0.20992920215913013,1.0,0.10553077392880347,0.219272408410033,0.3406291120393284,0.32689382682536555,0.21329970528851552,0.11115221318146552,0.1876858987728289,0.19571816293929,0.08379351771739187,0.36394176175003157
Imp_Fol_Rules,-0.07966174719474478,-0.05335066311340019,-0.09362243942516667,-0.07346222083645537,0.08918543724132824,0.1351685133833995,0.05423796022062098,0.08620275397788349,0.13285334649220915,0.30376634424044147,0.28441187460069217,-0.015395502990056344,0.3453687222922759,0.03825302343081302,0.10553077392880347,1.0,0.07083456742365712,0.1859985010979021,0.14202042070862742,0.2237106516131032,0.25750162139452354,0.14504455040498904,0.3025357123355196,0.18934896064534062,0.13487153692198087
Imp_Good_Time,-0.018728496973672636,-0.02209127837810845,-0.014558944472491578,-0.0231468678591728,0.40374603982419477,0.2352600964646289,0.4184401313985357,0.5356593478074475,0.20286709011278176,0.200365010620324,0.11799420090503172,0.3423779907723027,0.14704468398011053,0.2670586589277747,0.219272408410033,0.07083456742365712,1.0,0.3136158748780011,0.35126775368678037,0.12206720020157406,0.23571246534101462,0.27379958880364214,0.22003290568612738,0.28997269340494297,0.292017326272385
Imp_Help_People,-0.05949542245166201,-0.04592406896318811,-0.06660251980193735,-0.05651288060355876,0.26177871023548993,0.37864558136820115,0.3383578526877227,0.22852877501268037,0.049530024670200366,0.26696323080145223,0.25992624970920486,0.13990619392937484,0.26271069050086554,0.2695656552320918,0.3406291120393284,0.1859985010979021,0.3136158748780011,1.0,0.49847280035490243,0.29195999220391994,0.22995801936719978,0.195177616809836,0.29489780342387195,0.21334827059098074,0.4157786700125715
Imp_Loyal_Friends,-0.033926781028694515,-0.06840227304074312,-0.038165850054255844,-0.042853168408522324,0.27570466394460974,0.40724714497942294,0.4008881313572187,0.24769925750785443,0.10921834896017632,0.2581486270732509,0.2176707130681515,0.19385403848450397,0.2820580423018299,0.28776773713075005,0.32689382682536555,0.14202042070862742,0.35126775368678037,0.49847280035490243,1.0,0.23765275080645196,0.3136014601962245,0.23282268528686076,0.27867083197470055,0.21916339148272296,0.4277364352501264
Imp_Humble,-0.02465175254721669,0.01097926611448041,-0.019688258353163193,-0.004705399449340655,0.06848546196022504,0.23678601069548605,0.13878222932815926,0.062344809507546554,-0.062197855348732706,0.246046732976754,0.23459045741321966,-0.05490715868243819,0.3464694330896411,0.06298652598447359,0.21329970528851552,0.2237106516131032,0.12206720020157406,0.29195999220391994,0.23765275080645196,1.0,0.10655293995296387,-0.003170298875296896,0.2290567196381056,-0.021742758230088168,0.2769402581730961
Imp_Respect,-0.05900260496763941,-0.051022257760590405,-0.047081910249084806,-0.047443391111174675,0.1577216231183237,0.19593340039478366,0.23784122950950265,0.17260111114605284,0.26028204270115574,0.3590759908213397,0.23876111181969664,0.16157485817895498,0.38056421247574196,0.14567150297058062,0.11115221318146552,0.25750162139452354,0.23571246534101462,0.22995801936719978,0.3136014601962245,0.10655293995296387,1.0,0.37447452869452125,0.2854913378295585,0.33194097461733196,0.14177807140358845
Imp_Admired,-0.03422824887699377,-0.05503534094028834,-0.027989319560201384,-0.047754969604111214,0.28268471541554335,0.11213940136127011,0.22614790091334436,0.23911999309993895,0.3457496998340473,0.3006492472835951,0.09699944455225498,0.2966481414986705,0.2206594908174946,0.2462803343850672,0.1876858987728289,0.14504455040498904,0.27379958880364214,0.195177616809836,0.23282268528686076,-0.003170298875296896,0.37447452869452125,1.0,0.21167306257834023,0.4912222735241357,0.14252657607839023
Imp_Strong_Safe_Gov,-0.09842849279787816,-0.040466479281335004,-0.08961577495995422,-0.09085901416604596,0.14673653377233445,0.22334700101045799,0.19704004878193368,0.1863435649074099,0.16692710475636424,0.44886514272220096,0.3071285750965037,0.04306747005827896,0.34350712540276074,0.10954411637253737,0.19571816293929,0.3025357123355196,0.22003290568612738,0.29489780342387195,0.27867083197470055,0.2290567196381056,0.2854913378295585,0.21167306257834023,1.0,0.2737791633011658,0.18982706117311093
Imp_Successful,-0.07086851302340892,-0.07924631873817142,-0.06910688244068423,-0.08790731903340589,0.2890701653568222,0.10766489091372627,0.24831285572062536,0.28416857793021927,0.41527116823642457,0.19993745996760398,0.13694789141419203,0.3291219739042081,0.17125775945712973,0.24760560367288365,0.08379351771739187,0.18934896064534062,0.28997269340494297,0.21334827059098074,0.21916339148272296,-0.021742758230088168,0.33194097461733196,0.4912222735241357,0.2737791633011658,1.0,0.10595840041731243
Imp_Understanding,-0.0333695037361968,-0.06524062325242404,-0.03988087607319475,-0.025838836093356007,0.27172606718102427,0.36641509678563217,0.3225796690296805,0.15990306028553927,0.008712206953828969,0.1685547546457945,0.10778993740584103,0.14806090178708822,0.16369078155929112,0.2929610778403636,0.36394176175003157,0.13487153692198087,0.292017326272385,0.4157786700125715,0.4277364352501264,0.2769402581730961,0.14177807140358845,0.14252657607839023,0.18982706117311093,0.10595840041731243,1.0
